dialogID,ppl,position,type,model
50,10.2964656876993,9,compressed,LSTM
50,4.47131190293666,10,compressed,LSTM
50,4.20907732770261,11,compressed,LSTM
50,6.91975533023288,12,compressed,LSTM
50,8.11734169973254,13,compressed,LSTM
51,5.42519254250626,0,compressed,LSTM
51,4.55557147818519,1,compressed,LSTM
51,3.41833310845826,2,compressed,LSTM
51,7.01204881441742,3,compressed,LSTM
51,4.55999201009746,4,compressed,LSTM
51,4.56564453330696,5,compressed,LSTM
51,4.46057482922645,6,compressed,LSTM
51,5.50716208446934,7,compressed,LSTM
51,4.91001737317702,8,compressed,LSTM
51,4.93021251878062,9,compressed,LSTM
51,3.74645462844784,10,compressed,LSTM
51,5.64681336650763,11,compressed,LSTM
51,3.39813430517714,12,compressed,LSTM
51,4.5615078003953,13,compressed,LSTM
51,3.02642753802175,14,compressed,LSTM
51,3.1210642736563,15,compressed,LSTM
51,4.66192509114459,16,compressed,LSTM
51,8.01741016772598,17,compressed,LSTM
51,5.10169394126645,18,compressed,LSTM
51,13.6509987166965,19,compressed,LSTM
51,4.55675986253099,20,compressed,LSTM
51,5.91514568352587,21,compressed,LSTM
51,6.55316109494833,22,compressed,LSTM
51,4.69418380023565,23,compressed,LSTM
52,2.14579051260447,0,compressed,LSTM
52,3.52787370023002,1,compressed,LSTM
52,3.31575993319847,2,compressed,LSTM
52,3.3445610929696,3,compressed,LSTM
0,4.18813541160581,0,compressed,LSTM
0,2.22586531421074,1,compressed,LSTM
0,2.57588360334603,2,compressed,LSTM
0,3.77610221289169,3,compressed,LSTM
0,3.56932597605823,4,compressed,LSTM
0,3.06154694631033,5,compressed,LSTM
0,4.02537542302161,6,compressed,LSTM
1,8.34321402510484,0,compressed,LSTM
1,5.88080669149143,1,compressed,LSTM
1,7.0066593229171,2,compressed,LSTM
1,4.53633605935607,3,compressed,LSTM
1,5.31409492809872,4,compressed,LSTM
1,7.0008383173387,5,compressed,LSTM
1,7.21749042631006,6,compressed,LSTM
1,7.3560622123009,7,compressed,LSTM
1,6.2209793803122,8,compressed,LSTM
1,5.05052728158651,9,compressed,LSTM
1,5.0149486472643,10,compressed,LSTM
1,12.3668459530389,11,compressed,LSTM
1,6.25961227962764,12,compressed,LSTM
1,7.64691633467772,13,compressed,LSTM
1,4.14738427929208,14,compressed,LSTM
1,5.95127555493026,15,compressed,LSTM
1,5.96869949821142,16,compressed,LSTM
1,5.63594367599047,17,compressed,LSTM
1,10.7838239385053,18,compressed,LSTM
1,6.59948660233888,19,compressed,LSTM
1,5.57073317349532,20,compressed,LSTM
1,5.15136312921339,21,compressed,LSTM
1,11.3131798966866,22,compressed,LSTM
1,7.22506068008744,23,compressed,LSTM
1,7.32239944604425,24,compressed,LSTM
2,3.58292345689577,0,compressed,LSTM
2,5.53473383321929,1,compressed,LSTM
2,6.92640308379672,2,compressed,LSTM
2,15.5981018262816,3,compressed,LSTM
2,5.51393218167856,4,compressed,LSTM
2,5.24848609661793,5,compressed,LSTM
2,7.15728491857192,6,compressed,LSTM
2,5.03559819138735,7,compressed,LSTM
2,5.79794963581665,8,compressed,LSTM
2,5.36711531982726,9,compressed,LSTM
2,5.15243237144656,10,compressed,LSTM
2,3.2462852233814,11,compressed,LSTM
3,3.22235817605288,0,compressed,LSTM
3,6.05296404359249,1,compressed,LSTM
4,4.64889001534039,0,compressed,LSTM
4,9.56487381275071,1,compressed,LSTM
4,4.81252869852369,2,compressed,LSTM
4,6.99264351652663,3,compressed,LSTM
4,7.11138303056196,4,compressed,LSTM
4,9.76670412853817,5,compressed,LSTM
4,9.777484337944,6,compressed,LSTM
4,5.98304039722386,7,compressed,LSTM
4,8.80925564056374,8,compressed,LSTM
4,7.18621602452383,9,compressed,LSTM
4,5.93986015842075,10,compressed,LSTM
4,6.25330034023794,11,compressed,LSTM
4,5.75364372498362,12,compressed,LSTM
4,8.66083253779945,13,compressed,LSTM
4,7.92102764303317,14,compressed,LSTM
4,8.55055415030865,15,compressed,LSTM
4,14.9453014045872,16,compressed,LSTM
4,9.01144241815616,17,compressed,LSTM
4,5.08537675748764,18,compressed,LSTM
4,4.70173650468558,19,compressed,LSTM
4,6.22027341856909,20,compressed,LSTM
4,4.73082083412993,21,compressed,LSTM
4,7.08324123553811,22,compressed,LSTM
4,9.01826432310939,23,compressed,LSTM
4,7.54015104417281,24,compressed,LSTM
4,6.11399917214892,25,compressed,LSTM
5,3.50078971845805,0,compressed,LSTM
5,2.3947369040324,1,compressed,LSTM
5,2.17400034897822,2,compressed,LSTM
5,3.70317305610146,3,compressed,LSTM
5,10.7102377670664,4,compressed,LSTM
5,1.62039606702863,5,compressed,LSTM
5,3.44068782671282,6,compressed,LSTM
5,2.54517692857781,7,compressed,LSTM
5,2.86801587417114,8,compressed,LSTM
5,5.9368239516366,9,compressed,LSTM
5,5.75509730477376,10,compressed,LSTM
6,11.1955393071537,0,compressed,LSTM
6,5.34742426815409,1,compressed,LSTM
7,3.34098305623309,0,compressed,LSTM
7,2.64495529598215,1,compressed,LSTM
7,2.72680034280335,2,compressed,LSTM
7,3.91654379314815,3,compressed,LSTM
8,4.47210724236184,0,compressed,LSTM
8,3.22038240729231,1,compressed,LSTM
8,5.22351956100948,2,compressed,LSTM
8,3.20445248577172,3,compressed,LSTM
8,3.62300677601438,4,compressed,LSTM
8,2.61759249703159,5,compressed,LSTM
8,3.36844774437962,6,compressed,LSTM
8,2.3617763841428,7,compressed,LSTM
8,3.84228984037073,8,compressed,LSTM
8,3.09483586918282,9,compressed,LSTM
8,3.32690981928317,10,compressed,LSTM
8,3.82567121333914,11,compressed,LSTM
8,3.35133113044672,12,compressed,LSTM
8,2.89137777316533,13,compressed,LSTM
8,4.80380836542506,14,compressed,LSTM
8,4.04724675992813,15,compressed,LSTM
8,5.37699603229583,16,compressed,LSTM
8,3.8056173809816,17,compressed,LSTM
8,4.35712989454935,18,compressed,LSTM
9,6.14250570233395,0,compressed,LSTM
9,2.4769916223697,1,compressed,LSTM
9,2.37913252324617,2,compressed,LSTM
9,3.122138595314,3,compressed,LSTM
9,2.23391737306194,4,compressed,LSTM
9,3.33601348080636,5,compressed,LSTM
9,4.27887264927288,6,compressed,LSTM
9,4.27532956156608,7,compressed,LSTM
9,2.04890361018907,8,compressed,LSTM
9,2.65081791082776,9,compressed,LSTM
9,2.41437602243013,10,compressed,LSTM
9,2.80730183414842,11,compressed,LSTM
9,2.6755779954393,12,compressed,LSTM
9,2.92657870012593,13,compressed,LSTM
9,2.12432673934006,14,compressed,LSTM
9,3.14556295803662,15,compressed,LSTM
9,2.66313925647341,16,compressed,LSTM
9,2.88071587439156,17,compressed,LSTM
9,1.99346836762304,18,compressed,LSTM
9,4.13932587237239,19,compressed,LSTM
9,2.97171711323896,20,compressed,LSTM
9,2.87703791977625,21,compressed,LSTM
9,3.07718204699693,22,compressed,LSTM
9,2.09283475643201,23,compressed,LSTM
9,2.78719839279463,24,compressed,LSTM
9,3.08094397184286,25,compressed,LSTM
9,5.12646502023406,26,compressed,LSTM
10,8.3368192830343,0,compressed,LSTM
10,6.32840021715714,1,compressed,LSTM
10,3.3890667558249,2,compressed,LSTM
10,3.3619505104956,3,compressed,LSTM
10,5.13309815091626,4,compressed,LSTM
10,3.983529254739,5,compressed,LSTM
10,3.98801696271569,6,compressed,LSTM
10,5.74840455735923,7,compressed,LSTM
10,3.4693956263719,8,compressed,LSTM
10,4.04124880681712,9,compressed,LSTM
10,3.54876457523248,10,compressed,LSTM
10,3.72695776764123,11,compressed,LSTM
10,4.52002706010703,12,compressed,LSTM
10,5.01372563937736,13,compressed,LSTM
10,5.71389863360105,14,compressed,LSTM
10,4.38040219644509,15,compressed,LSTM
10,5.12525880683481,16,compressed,LSTM
10,4.15271394458794,17,compressed,LSTM
10,4.44703228678962,18,compressed,LSTM
10,4.17670240766824,19,compressed,LSTM
10,9.44568725187147,20,compressed,LSTM
10,4.30656903515474,21,compressed,LSTM
10,3.33106162183422,22,compressed,LSTM
10,4.67972949835168,23,compressed,LSTM
11,3.91259077774236,0,compressed,LSTM
11,7.09531528811558,1,compressed,LSTM
11,4.85386923774462,2,compressed,LSTM
11,6.54310932943853,3,compressed,LSTM
11,6.69413656820747,4,compressed,LSTM
11,8.08287533330327,5,compressed,LSTM
11,9.32532192836365,6,compressed,LSTM
11,5.67966145129648,7,compressed,LSTM
11,8.75134440207335,8,compressed,LSTM
11,18.4611493272096,9,compressed,LSTM
11,5.51479069789792,10,compressed,LSTM
11,5.2314736522978,11,compressed,LSTM
11,6.04181308984115,12,compressed,LSTM
12,4.276123174277,0,compressed,LSTM
12,5.42860448663609,1,compressed,LSTM
12,3.87301160638207,2,compressed,LSTM
12,4.5987427125279,3,compressed,LSTM
12,6.34985024772682,4,compressed,LSTM
12,3.69541692106396,5,compressed,LSTM
12,6.30419930774448,6,compressed,LSTM
12,5.21653389529418,7,compressed,LSTM
12,4.25812556329318,8,compressed,LSTM
12,5.17958390941316,9,compressed,LSTM
12,9.50551637468402,10,compressed,LSTM
12,5.86866379506365,11,compressed,LSTM
12,5.87139146660264,12,compressed,LSTM
12,6.14356681515706,13,compressed,LSTM
12,4.84732302763639,14,compressed,LSTM
12,5.29362964928713,15,compressed,LSTM
12,6.78695391037186,16,compressed,LSTM
12,5.37146394975308,17,compressed,LSTM
12,6.32945118931896,18,compressed,LSTM
12,6.79614709763222,19,compressed,LSTM
12,5.0952459512721,20,compressed,LSTM
12,6.9348360473084,21,compressed,LSTM
13,4.87585402063604,0,compressed,LSTM
13,3.75591418513346,1,compressed,LSTM
13,5.58115706574297,2,compressed,LSTM
13,3.23154246346712,3,compressed,LSTM
13,4.70067617592089,4,compressed,LSTM
