dialogID,ppl,position,type,model
42,7.18152218435862,0,compressed,Transformer
42,5.55425049146876,1,compressed,Transformer
42,5.06013822328895,2,compressed,Transformer
42,5.87882236289144,3,compressed,Transformer
42,5.10326143433539,4,compressed,Transformer
42,3.30023070398568,5,compressed,Transformer
42,7.84185506577277,6,compressed,Transformer
42,4.62194605193921,7,compressed,Transformer
42,7.2328449423195,8,compressed,Transformer
42,9.84515950624555,9,compressed,Transformer
42,5.68022886296213,10,compressed,Transformer
42,4.25914090057245,11,compressed,Transformer
42,6.21798923227761,12,compressed,Transformer
42,7.70711234191871,13,compressed,Transformer
42,7.0727532630746,14,compressed,Transformer
42,3.68253679441805,15,compressed,Transformer
42,5.59214307794991,16,compressed,Transformer
42,9.42874245102916,17,compressed,Transformer
42,12.9549770865705,18,compressed,Transformer
42,6.2746558901217,19,compressed,Transformer
42,19.9149758871419,20,compressed,Transformer
43,25.353543439008,0,compressed,Transformer
43,24.5188543434765,1,compressed,Transformer
43,14.9644625156224,2,compressed,Transformer
43,10.5168647662733,3,compressed,Transformer
43,18.3860416043146,4,compressed,Transformer
43,10.7275544003066,5,compressed,Transformer
43,22.730329679272,6,compressed,Transformer
43,15.1102745558723,7,compressed,Transformer
43,16.7195927321863,8,compressed,Transformer
43,8.70903506555651,9,compressed,Transformer
43,11.0516136229989,10,compressed,Transformer
43,16.9180735627302,11,compressed,Transformer
43,15.6734641215918,12,compressed,Transformer
43,10.8101064779543,13,compressed,Transformer
43,10.4089886425877,14,compressed,Transformer
43,17.5250869473606,15,compressed,Transformer
43,24.8225120207027,16,compressed,Transformer
43,15.652954798933,17,compressed,Transformer
43,13.4649469772683,18,compressed,Transformer
43,21.7770789461546,19,compressed,Transformer
43,12.8681308809419,20,compressed,Transformer
43,18.224123811665,21,compressed,Transformer
43,13.7309219200234,22,compressed,Transformer
43,7.90017754226926,23,compressed,Transformer
43,9.4982828589419,24,compressed,Transformer
43,10.3139542786683,25,compressed,Transformer
43,14.5186096622854,26,compressed,Transformer
43,11.6849705952868,27,compressed,Transformer
43,11.5731889981058,28,compressed,Transformer
43,15.0699185130239,29,compressed,Transformer
43,14.9797619472897,30,compressed,Transformer
43,11.6046043830377,31,compressed,Transformer
43,14.3984896795756,32,compressed,Transformer
43,15.4225582752524,33,compressed,Transformer
43,8.78388922224254,34,compressed,Transformer
43,12.2185925915132,35,compressed,Transformer
43,18.4963550882193,36,compressed,Transformer
43,21.2934077926452,37,compressed,Transformer
43,18.355067089934,38,compressed,Transformer
43,15.9968685619173,39,compressed,Transformer
43,12.6002653179044,40,compressed,Transformer
43,10.567359587038,41,compressed,Transformer
43,13.3498996151884,42,compressed,Transformer
43,10.0239805576827,43,compressed,Transformer
44,2.88940998079813,0,compressed,Transformer
44,3.59238933645083,1,compressed,Transformer
44,5.09717238281787,2,compressed,Transformer
44,3.19069912469419,3,compressed,Transformer
44,4.04178262594507,4,compressed,Transformer
44,3.11382198692655,5,compressed,Transformer
44,5.01911066167278,6,compressed,Transformer
44,3.10992018870048,7,compressed,Transformer
44,3.76570017737832,8,compressed,Transformer
44,3.55832217970639,9,compressed,Transformer
44,3.92416568289231,10,compressed,Transformer
45,5.50495798226964,0,compressed,Transformer
45,3.26244838244158,1,compressed,Transformer
45,5.68135708364694,2,compressed,Transformer
45,6.80956042732627,3,compressed,Transformer
45,5.85305065651096,4,compressed,Transformer
45,6.80094739270623,5,compressed,Transformer
45,4.36734410649209,6,compressed,Transformer
45,5.55537289530361,7,compressed,Transformer
45,4.45961779638712,8,compressed,Transformer
45,3.76926887790864,9,compressed,Transformer
45,5.62365271148628,10,compressed,Transformer
